product_name,sku,url,category,primary_keyword,search_intent,content_angle,short_desc_words,long_desc_words,status_vs_target,h2_count,h3_count,tables,lists,contextual_links,link_destinations,faq_count,duplicate_faqs,related_products,images
Small Burger Sleeves,TBS-023,https://theburgersleeves.com/product/small-burger-sleeves/,Burger Sleeves Sizes,small burger sleeves,commercial — buyer sizing for junior/kids or single-patty builds,Small-format fit tolerance and why undersizing distorts the bun,127,1289,OK,6,0,2,2,3,/product/medium-burger-sleeves/ | /product/cafe-burger-sleeves/ | /product/slider-burger-sleeves/,12,0,Double Patty Burger Sleeves | Jumbo Burger Sleeves | Large Burger Sleeves | Medium Burger Sleeves,3
Medium Burger Sleeves,TBS-024,https://theburgersleeves.com/product/medium-burger-sleeves/,Burger Sleeves Sizes,medium burger sleeves,commercial — buyer sizing the everyday house burger,The default service size and how it flexes across a mixed menu,129,1252,OK,6,0,1,2,3,/product/large-burger-sleeves/ | /product-category/burger-sleeves-sizes/ | /product/restaurant-burger-sleeves/,12,0,Double Patty Burger Sleeves | Jumbo Burger Sleeves | Large Burger Sleeves | Slider Burger Sleeves,4
Large Burger Sleeves,TBS-025,https://theburgersleeves.com/product/large-burger-sleeves/,Burger Sleeves Sizes,large burger sleeves,commercial — buyer sizing premium/loaded builds,Extra panel depth for tall builds without losing grip,128,1211,OK,5,0,1,1,3,/product/jumbo-burger-sleeves/ | /product/takeaway-burger-sleeves/ | /product/cardboard-burger-sleeves/,12,0,Double Patty Burger Sleeves | Jumbo Burger Sleeves | Medium Burger Sleeves | Slider Burger Sleeves,5
Jumbo Burger Sleeves,TBS-026,https://theburgersleeves.com/product/jumbo-burger-sleeves/,Burger Sleeves Sizes,jumbo burger sleeves,commercial — buyer sizing oversized signature burgers,Board stiffness and weight at the top of the size range,99,1235,OK,6,0,2,1,3,/product/corrugated-burger-sleeves/ | /product/double-patty-burger-sleeves/ | /get-free-quote/,12,0,Double Patty Burger Sleeves | Large Burger Sleeves | Medium Burger Sleeves | Slider Burger Sleeves,5
Slider Burger Sleeves,TBS-027,https://theburgersleeves.com/product/slider-burger-sleeves/,Burger Sleeves Sizes,slider burger sleeves,commercial — buyer packing multi-item slider service,"Multiples per order, tray presentation, tight sizing tolerance",132,1238,OK,6,0,1,2,3,/product/event-burger-sleeves/ | /product/minimal-design-burger-sleeves/ | /product/small-burger-sleeves/,12,0,Double Patty Burger Sleeves | Jumbo Burger Sleeves | Large Burger Sleeves | Medium Burger Sleeves,3
Double Patty Burger Sleeves,TBS-028,https://theburgersleeves.com/product/double-patty-burger-sleeves/,Burger Sleeves Sizes,double patty burger sleeves,commercial — buyer packing tall two-patty builds,Vertical clearance and compression from stacked patties,126,1222,OK,5,0,2,3,3,/product/grease-resistant-burger-sleeves/ | /product/jumbo-burger-sleeves/ | /product/die-cut-burger-sleeves/,12,0,Jumbo Burger Sleeves | Large Burger Sleeves | Medium Burger Sleeves | Slider Burger Sleeves,5
Kraft Brown Burger Sleeves,TBS-029,https://theburgersleeves.com/product/kraft-brown-burger-sleeves/,Burger Sleeves Styles,kraft brown burger sleeves,commercial — buyer choosing an unbleached brown sleeve for a natural-looking menu,"Unbleached brown board as a *surface*: fibre speckle, how ink behaves on an uncoated brown ground, why white ink and pale tints fail, grease shadowing on brown vs white",123,1238,OK,6,0,1,2,4,/product/kraft-burger-sleeves/ | /product/minimal-design-burger-sleeves/ | /product/white-burger-sleeves/ | /product/cafe-burger-sleeves/,12,0,Black Burger Sleeves | Die Cut Burger Sleeves | Gloss Finish Burger Sleeves | Matte Finish Burger Sleeves,5
White Burger Sleeves,TBS-030,https://theburgersleeves.com/product/white-burger-sleeves/,Burger Sleeves Styles,white burger sleeves,commercial — buyer wanting a clean bright ground for colour-accurate print,"White coated board as a colour-accuracy decision: brightness, CMYK fidelity, why white shows grease and handling marks first, coating trade-off",127,1211,OK,6,0,1,3,4,/product/grease-resistant-burger-sleeves/ | /product/gloss-finish-burger-sleeves/ | /product-category/burger-sleeves-styles/ | /product/restaurant-burger-sleeves/,13,0,Black Burger Sleeves | Die Cut Burger Sleeves | Gloss Finish Burger Sleeves | Kraft Brown Burger Sleeves,3
Black Burger Sleeves,TBS-031,https://theburgersleeves.com/product/black-burger-sleeves/,Burger Sleeves Styles,black burger sleeves,commercial — buyer wanting a dark premium sleeve and worried about print and scuffing,"Printing *onto* dark stock: opaque white underbase, foil and spot UV as the only high-contrast options, scuff and fingerprint visibility on black, grease darkening",116,1244,OK,5,0,2,2,3,/product/matte-finish-burger-sleeves/ | /product/black-printed-burger-sleeves/ | /product/white-burger-sleeves/,12,0,Die Cut Burger Sleeves | Gloss Finish Burger Sleeves | Kraft Brown Burger Sleeves | Matte Finish Burger Sleeves,5
Matte Finish Burger Sleeves,TBS-032,https://theburgersleeves.com/product/matte-finish-burger-sleeves/,Burger Sleeves Styles,matte finish burger sleeves,commercial — buyer choosing a low-glare finish,"Glare, photography and hand-feel; matte's weakness on grease shadowing and scuff; when a matte varnish beats a matte laminate",119,1809,OVER,4,4,4,4,4,/product-category/burger-sleeves-styles/ | /product/white-printed-burger-sleeves/ | /product/branded-burger-sleeves/ | /product/black-burger-sleeves/,15,0,Black Burger Sleeves | Die Cut Burger Sleeves | Gloss Finish Burger Sleeves | Kraft Brown Burger Sleeves,5
Gloss Finish Burger Sleeves,TBS-033,https://theburgersleeves.com/product/gloss-finish-burger-sleeves/,Burger Sleeves Styles,gloss finish burger sleeves,commercial — buyer wanting colour pop and a wipeable surface,"Gloss as ink protection rather than decoration: colour saturation, surface sealing against light grease, reflection problems under counter lighting, spot gloss on matte",122,1219,OK,6,0,1,2,4,/product/matte-finish-burger-sleeves/ | /product/full-color-burger-sleeves/ | /product-category/burger-sleeves-styles/ | /product/promotional-burger-sleeves/,12,0,Black Burger Sleeves | Die Cut Burger Sleeves | Kraft Brown Burger Sleeves | Matte Finish Burger Sleeves,5
Die Cut Burger Sleeves,TBS-034,https://theburgersleeves.com/product/die-cut-burger-sleeves/,Burger Sleeves Styles,die cut burger sleeves,commercial/technical — buyer specifying a structural sleeve with tabs and locks,"Dieline engineering: tuck tabs, lock slots, cut vs crease, nick points, tolerance stack, how to supply and approve a dieline, assembly time per unit",121,1268,OK,5,0,1,3,4,/product/double-patty-burger-sleeves/ | /product/custom-burger-sleeves/ | /get-free-quote/ | /product-category/burger-sleeves-sizes/,14,0,Black Burger Sleeves | Gloss Finish Burger Sleeves | Kraft Brown Burger Sleeves | Matte Finish Burger Sleeves,5
Burger Sleeves,TBS-007,https://theburgersleeves.com/product/burger-sleeves/,Burger Sleeves Usage,burger sleeves,informational/commercial hub — buyer new to sleeves,"The category primer: what a sleeve is, what it does that a wrap or box does not, where it fits in a service flow, how to start a spec",114,1225,OK,8,0,1,2,4,/product-category/burger-sleeves-materials/ | /product-category/burger-sleeves-sizes/ | /product/grease-resistant-burger-sleeves/ | /product/custom-burger-sleeves/,12,0,Cheeseburger Sleeves | Disposable Burger Sleeves | Fast Food Burger Sleeves | Food Grade Burger Sleeves,5
Hamburger Sleeves,TBS-008,https://theburgersleeves.com/product/hamburger-sleeves/,Burger Sleeves Usage,hamburger sleeves,commercial — classic single-patty operator,"The classic quarter-pound build: modest height, soft bun compression, sizing around a standard patty and bun crown",111,1257,OK,8,0,1,2,3,/product/burger-sleeves/ | /product/kraft-burger-sleeves/ | /product/medium-burger-sleeves/,12,0,Burger Sleeves | Cheeseburger Sleeves | Disposable Burger Sleeves | Fast Food Burger Sleeves,5
Cheeseburger Sleeves,TBS-009,https://theburgersleeves.com/product/cheeseburger-sleeves/,Burger Sleeves Usage,cheeseburger sleeves,commercial — operator dealing with melted cheese,"Melted cheese specifically: overhang, adhesion to the sleeve wall, steam under a hot lid, release behaviour of coated vs uncoated board",116,1203,OK,8,0,1,1,4,/product/grease-resistant-burger-sleeves/ | /product/paper-burger-sleeves/ | /product/double-patty-burger-sleeves/ | /product/hamburger-sleeves/,12,0,Burger Sleeves | Disposable Burger Sleeves | Fast Food Burger Sleeves | Food Grade Burger Sleeves,4
Fast Food Burger Sleeves,TBS-010,https://theburgersleeves.com/product/fast-food-burger-sleeves/,Burger Sleeves Usage,fast food burger sleeves,commercial — high-throughput QSR,"Throughput economics: seconds per unit, single-motion assembly, stack presentation at a make line, consistency across shifts",115,1308,OK,9,0,1,2,3,/product/large-burger-sleeves/ | /product-category/special-sleeves-uses/ | /product/die-cut-burger-sleeves/,12,0,Burger Sleeves | Cheeseburger Sleeves | Disposable Burger Sleeves | Food Grade Burger Sleeves,5
Takeaway Burger Sleeves,TBS-011,https://theburgersleeves.com/product/takeaway-burger-sleeves/,Burger Sleeves Usage,takeaway burger sleeves,commercial — delivery and collection operator,"The journey after handoff: bag steam, travel time, condensation, arriving intact 20 minutes later",123,1281,OK,9,0,1,1,4,/product/fast-food-burger-sleeves/ | /product/street-food-burger-sleeves/ | /product/corrugated-burger-sleeves/ | /product/logo-printed-burger-sleeves/,12,0,Burger Sleeves | Cheeseburger Sleeves | Disposable Burger Sleeves | Fast Food Burger Sleeves,5
Disposable Burger Sleeves,TBS-012,https://theburgersleeves.com/product/disposable-burger-sleeves/,Burger Sleeves Usage,disposable burger sleeves,"commercial — single-use buyer, waste-conscious","Single-use as an operational and waste decision: material per unit, bin stream reality, what 'disposable' does and does not imply",122,1313,OK,9,0,1,2,3,/product/eco-friendly-burger-sleeves/ | /product/cardboard-burger-sleeves/ | /product/food-grade-burger-sleeves/,12,0,Burger Sleeves | Cheeseburger Sleeves | Fast Food Burger Sleeves | Food Grade Burger Sleeves,0
Grease Resistant Burger Sleeves,TBS-013,https://theburgersleeves.com/product/grease-resistant-burger-sleeves/,Burger Sleeves Usage,grease resistant burger sleeves,technical/commercial — buyer solving oil strike-through,"Grease mechanics: strike-through vs surface shadowing, where barriers sit, inner wrap as the real defence, what a coating cannot promise",127,1340,OK,9,0,1,1,4,/product/cheeseburger-sleeves/ | /product/kraft-brown-burger-sleeves/ | /product/disposable-burger-sleeves/ | /product/jumbo-burger-sleeves/,12,0,Burger Sleeves | Cheeseburger Sleeves | Disposable Burger Sleeves | Fast Food Burger Sleeves,5
Food Grade Burger Sleeves,TBS-014,https://theburgersleeves.com/product/food-grade-burger-sleeves/,Burger Sleeves Usage,food grade burger sleeves,technical — buyer asking about food-contact suitability,"Food-contact scope: direct vs indirect contact, why an inner wrap changes the requirement, what to ask a supplier for in writing",124,1331,OK,9,0,1,1,3,/product/white-burger-sleeves/ | /product/printed-burger-sleeves/ | /product/recycled-burger-sleeves/,12,0,Burger Sleeves | Cheeseburger Sleeves | Disposable Burger Sleeves | Fast Food Burger Sleeves,1
Custom Burger Sleeves,TBS-015,https://theburgersleeves.com/product/custom-burger-sleeves/,Customized Burger Sleeves,custom burger sleeves,commercial hub — buyer starting a bespoke spec,"The specification process end to end: what a quote actually needs (dimensions, board, print, finish, quantity), and what each decision costs you elsewhere",125,1327,OK,7,0,1,3,4,/product-category/burger-sleeves-sizes/ | /product/die-cut-burger-sleeves/ | /product-category/burger-sleeves-materials/ | /get-free-quote/,13,0,Black Printed Burger Sleeves | Branded Burger Sleeves | Full Color Burger Sleeves | Logo Printed Burger Sleeves,1
Printed Burger Sleeves,TBS-016,https://theburgersleeves.com/product/printed-burger-sleeves/,Customized Burger Sleeves,printed burger sleeves,commercial — buyer comparing print methods,"Print process selection: offset vs digital by run length, colour build, registration",130,1491,OK,2,2,4,4,4,/product-category/customized-burger-sleeves/ | /product/branded-burger-sleeves/ | /product/logo-printed-burger-sleeves/ | /product/full-color-burger-sleeves/,15,0,Black Printed Burger Sleeves | Branded Burger Sleeves | Custom Burger Sleeves | Full Color Burger Sleeves,1
Branded Burger Sleeves,TBS-017,https://theburgersleeves.com/product/branded-burger-sleeves/,Customized Burger Sleeves,branded burger sleeves,commercial — operator applying a brand system to packaging,Brand consistency across a packaging family; colour matching across substrates; how a sleeve sits in a wider identity,129,1267,OK,7,0,1,1,4,/product/full-color-burger-sleeves/ | /product/food-truck-burger-sleeves/ | /product/minimal-design-burger-sleeves/ | /product/cafe-burger-sleeves/,12,0,Black Printed Burger Sleeves | Custom Burger Sleeves | Full Color Burger Sleeves | Logo Printed Burger Sleeves,1
Logo Printed Burger Sleeves,TBS-018,https://theburgersleeves.com/product/logo-printed-burger-sleeves/,Customized Burger Sleeves,logo printed burger sleeves,"commercial — buyer who only wants a logo, not full artwork","Single-mark printing: logo placement zones, minimum reproducible size, one- and two-colour work, vector file requirements",124,1330,OK,7,0,1,2,4,/product/kraft-brown-burger-sleeves/ | /product/black-printed-burger-sleeves/ | /product/branded-burger-sleeves/ | /product-category/special-sleeves-uses/,12,0,Black Printed Burger Sleeves | Branded Burger Sleeves | Custom Burger Sleeves | Full Color Burger Sleeves,1
Full Color Burger Sleeves,TBS-019,https://theburgersleeves.com/product/full-color-burger-sleeves/,Customized Burger Sleeves,full color burger sleeves,commercial — buyer wanting edge-to-edge CMYK artwork,"Full-coverage CMYK: bleed, heavy ink coverage on board, colour drift across a run, why photographic art needs a coated ground",129,1272,OK,7,0,1,2,3,/product/white-printed-burger-sleeves/ | /product/gloss-finish-burger-sleeves/ | /product/promotional-burger-sleeves/,12,0,Black Printed Burger Sleeves | Branded Burger Sleeves | Custom Burger Sleeves | Logo Printed Burger Sleeves,5
Black Printed Burger Sleeves,TBS-020,https://theburgersleeves.com/product/black-printed-burger-sleeves/,Customized Burger Sleeves,black printed burger sleeves,"commercial — buyer printing dark artwork, not buying black stock","Heavy black ink coverage on light board — the opposite problem to black stock: rich black builds, set-off, cracking on folds, marking",126,1252,OK,7,0,1,2,4,/product/black-burger-sleeves/ | /product/kraft-burger-sleeves/ | /product/minimal-design-burger-sleeves/ | /product/street-food-burger-sleeves/,12,0,Branded Burger Sleeves | Custom Burger Sleeves | Full Color Burger Sleeves | Logo Printed Burger Sleeves,0
White Printed Burger Sleeves,TBS-021,https://theburgersleeves.com/product/white-printed-burger-sleeves/,Customized Burger Sleeves,white printed burger sleeves,commercial — buyer printing on a white ground,"Working with unprinted white as a design element: knockouts, negative space, keeping white clean in service",124,1218,OK,7,0,1,3,3,/product/white-burger-sleeves/ | /product/grease-resistant-burger-sleeves/ | /product/full-color-burger-sleeves/,12,0,Black Printed Burger Sleeves | Branded Burger Sleeves | Custom Burger Sleeves | Full Color Burger Sleeves,5
Minimal Design Burger Sleeves,TBS-022,https://theburgersleeves.com/product/minimal-design-burger-sleeves/,Customized Burger Sleeves,minimal design burger sleeves,commercial — buyer wanting restraint and lower print cost,"Design restraint as a cost and durability decision: fewer colours, less coverage, more forgiving of registration and wear",127,1327,OK,7,0,1,2,4,/product/kraft-brown-burger-sleeves/ | /product/printed-burger-sleeves/ | /product/logo-printed-burger-sleeves/ | /product/matte-finish-burger-sleeves/,12,0,Black Printed Burger Sleeves | Branded Burger Sleeves | Custom Burger Sleeves | Full Color Burger Sleeves,3
Restaurant Burger Sleeves,TBS-035,https://theburgersleeves.com/product/restaurant-burger-sleeves/,Special Sleeves Uses,restaurant burger sleeves,commercial — dine-in and counter operator,Front-of-house presentation and table service,124,1284,OK,6,0,1,2,3,/product/logo-printed-burger-sleeves/ | /product/medium-burger-sleeves/ | /product/custom-burger-sleeves/,12,0,Cafe Burger Sleeves | Event Burger Sleeves | Food Truck Burger Sleeves | Promotional Burger Sleeves,3
Food Truck Burger Sleeves,TBS-036,https://theburgersleeves.com/product/food-truck-burger-sleeves/,Special Sleeves Uses,food truck burger sleeves,commercial — mobile operator with no storage,"Flat-pack storage, wind, one-handed assembly at a hatch",120,1205,OK,5,0,1,3,3,/product/small-burger-sleeves/ | /product/grease-resistant-burger-sleeves/ | /product/kraft-burger-sleeves/,12,0,Cafe Burger Sleeves | Event Burger Sleeves | Promotional Burger Sleeves | Restaurant Burger Sleeves,5
Cafe Burger Sleeves,TBS-037,https://theburgersleeves.com/product/cafe-burger-sleeves/,Special Sleeves Uses,cafe burger sleeves,commercial — cafe with a small hot menu,"Low volume, mixed menu, counter display",119,1220,OK,6,0,1,2,3,/product/matte-finish-burger-sleeves/ | /product/branded-burger-sleeves/ | /product/white-burger-sleeves/,12,0,Event Burger Sleeves | Food Truck Burger Sleeves | Promotional Burger Sleeves | Restaurant Burger Sleeves,5
Street Food Burger Sleeves,TBS-038,https://theburgersleeves.com/product/street-food-burger-sleeves/,Special Sleeves Uses,street food burger sleeves,commercial — market and kerbside vendor,"Outdoor handling, walking customers, no table",122,1201,OK,6,0,1,2,3,/product/takeaway-burger-sleeves/ | /product/cardboard-burger-sleeves/ | /product/die-cut-burger-sleeves/,13,0,Cafe Burger Sleeves | Event Burger Sleeves | Food Truck Burger Sleeves | Promotional Burger Sleeves,3
Promotional Burger Sleeves,TBS-039,https://theburgersleeves.com/product/promotional-burger-sleeves/,Special Sleeves Uses,promotional burger sleeves,commercial — marketing-led short run,"Campaign windows, QR zones, artwork versioning",124,1267,OK,6,0,1,2,3,/product/custom-burger-sleeves/ | /product/full-color-burger-sleeves/ | /product/logo-printed-burger-sleeves/,12,0,Cafe Burger Sleeves | Event Burger Sleeves | Food Truck Burger Sleeves | Restaurant Burger Sleeves,3
Event Burger Sleeves,TBS-040,https://theburgersleeves.com/product/event-burger-sleeves/,Special Sleeves Uses,event burger sleeves,commercial — caterer serving in waves,"Batch assembly, stacking, crowd handoff",126,1221,OK,6,0,1,3,3,/product/burger-and-fries-sleeves/ | /product/custom-burger-sleeves/ | /product/slider-burger-sleeves/,13,0,Cafe Burger Sleeves | Food Truck Burger Sleeves | Promotional Burger Sleeves | Restaurant Burger Sleeves,5
