sku,product,url,field,before,after,reason
TBS-026,Jumbo Burger Sleeves,/product/jumbo-burger-sleeves/,specRows,"Safe inks and coatings, Full regulatory compliance",Ink and coating options for food packaging; compliance to be confirmed per specification,"Decision 6. ""Full regulatory compliance"" is an unqualified certification claim."
TBS-026,Jumbo Burger Sleeves,/product/jumbo-burger-sleeves/,specRows,"Meets FDA food packaging standards, Soy-based inks available, Quality tested",Soy-based inks available; supplier documentation to be confirmed for the chosen build,"Decision 6. Removes the FDA standards claim and the unqualified ""quality tested""."
TBS-026,Jumbo Burger Sleeves,/product/jumbo-burger-sleeves/,specRows,"Food-safe grease barrier finish, Leak-proof coating",Grease barrier finish options; a barrier slows oil migration and does not make a sleeve leakproof,"Decision 6. ""Leak-proof coating"" is contradicted by every other page in the catalogue and by the material."
TBS-026,Jumbo Burger Sleeves,/product/jumbo-burger-sleeves/,specRows,"No oil bleed-through, Keeps hands clean, Stain-free exterior, Sauce-resistant surface",Reduces oil bleed-through and surface staining; an inner wrap remains the primary barrier on sauced builds,"Decision 6. ""No oil bleed-through"" and ""stain-free"" are absolute guarantees the material cannot support."
TBS-026,Jumbo Burger Sleeves,/product/jumbo-burger-sleeves/,specRows,"12pt – 18pt food-grade cardboard, Grease-resistant inner coating standard","12pt – 18pt paperboard, grease-resistant inner coating standard","Decision 6. ""Food-grade"" used as a property claim; the caliper range is retained as supplied."
TBS-006,Eco Friendly Burger Sleeves,/product/eco-friendly-burger-sleeves/,image alt (Biodegradable-Burger-Sleeve.jpg),Biodegradable Burger Sleeve,Burger held in a checked greaseproof paper wrap,Decision 6. The image is a gingham greaseproof wrap sheet; nothing in it evidences biodegradability.
TBS-006,Eco Friendly Burger Sleeves,/product/eco-friendly-burger-sleeves/,image alt (Cafe-Eco-Friendly-Burger-Sleeve.jpg),Cafe Eco Friendly Burger Sleeve,Burger sleeve on a cafe counter,Decision 6. Removes an environmental claim from alt text describing a counter photograph.
TBS-006,Eco Friendly Burger Sleeves,/product/eco-friendly-burger-sleeves/,image alt (Eco-Friendly-Burger-Sleeve.jpg),Eco Friendly Burger Sleeve,Kraft burger sleeve around a wrapped burger,Decision 6. Alt text described a claim rather than the visible image.
TBS-037,Cafe Burger Sleeves,/product/cafe-burger-sleeves/,image alt (Eco-Friendly-Cafe-Burger-Sleeve.jpg),Eco Friendly Cafe Burger Sleeve,Burger sleeve served at a cafe table,Decision 6. Environmental claim removed from alt text.
TBS-040,Event Burger Sleeves,/product/event-burger-sleeves/,image alt (Recyclable-Event-Burger-Sleeve.jpg),Recyclable Event Burger Sleeve,Printed burger sleeve at an event serving station,"Decision 6. ""Recyclable"" is a disposal outcome that depends on local facilities and cannot be asserted in alt text."
TBS-005,Recycled Burger Sleeves,/product/recycled-burger-sleeves/,image alt (Speckled-Recycled-Burger-Sleeve.jpg),Speckled Recycled Burger Sleeve,Printed paper food bags holding a hot dog,"Decision 9. The image shows foil-lined printed bags with a hot dog, not a speckled recycled burger sleeve."
TBS-005,Recycled Burger Sleeves,/product/recycled-burger-sleeves/,image alt (Modern-Recycled-Burger-Sleeve.jpg),Special Sleeves Uses,Recycled board burger sleeve,"Decision 9. Alt text read ""Special Sleeves Uses"", a category name unrelated to the image."
TBS-044,Fast Food Sleeves Packaging,/product/fast-food-sleeves-packaging/,image alt (burger-sleeves-packaging.jpg),Burger Sleeves Materials,Printed fast food sleeves stacked for service,"Decision 13. Alt text read ""Burger Sleeves Materials"", a category name that mislabels a fast-food image."
TBS-043,Burger Sandwich Sleeves,/product/burger-sandwich-sleeves/,image alt (Logo-Printed-Burger-Sandwich-Sleeves.jpg),Logo Printed Burger Sleeves,Logo printed burger sandwich sleeve,"Decision 13. Alt text read ""Logo Printed Burger Sleeves"", naming the wrong product."
TBS-012,Disposable Burger Sleeves,/product/disposable-burger-sleeves/,shortDescriptionHtml,Made from biodegradable materials that reduce environmental guilt associated with disposables.,"Absorbent paper takes up surface oils so the hold area stays dry through a short service; disposal depends on the stock, any barrier applied, food residue and local facilities.","Decision 6. Claimed the sleeves are ""made from biodegradable materials"". The specification lists kraft or white paper and absorbent stock with an optional barrier; nothing addresses degradation."
TBS-026,Jumbo Burger Sleeves,/product/jumbo-burger-sleeves/,shortDescriptionHtml,"printed on food-safe, grease-resistant cardboard","printed on food-contact grade, grease-resistant cardboard","Decision 6. ""Food-safe"" used as a bare property claim. Replaced with the commercial grade descriptor, which names the class of stock without asserting a certification."
TBS-012,Disposable Burger Sleeves,/product/disposable-burger-sleeves/,specRows,Food-safe paper,Food-contact grade paper,"Decision 6. Bare safety or sustainability wording in a specification cell, replaced with a descriptor that names the grade without asserting a certification or an environmental property."
TBS-013,Grease Resistant Burger Sleeves,/product/grease-resistant-burger-sleeves/,specRows,Food-safe barrier,Food-contact grade barrier,"Decision 6. Bare safety or sustainability wording in a specification cell, replaced with a descriptor that names the grade without asserting a certification or an environmental property."
TBS-013,Grease Resistant Burger Sleeves,/product/grease-resistant-burger-sleeves/,specRows,Direct contact safe materials,Materials offered for direct contact; confirm per specification,"Decision 6. Bare safety or sustainability wording in a specification cell, replaced with a descriptor that names the grade without asserting a certification or an environmental property."
TBS-014,Food Grade Burger Sleeves,/product/food-grade-burger-sleeves/,specRows,Food-safe paper stock,Food-contact grade paper stock,"Decision 6. Bare safety or sustainability wording in a specification cell, replaced with a descriptor that names the grade without asserting a certification or an environmental property."
TBS-044,Fast Food Sleeves Packaging,/product/fast-food-sleeves-packaging/,specRows,Food safe paper stocks,Food-contact grade paper stocks,"Decision 6. Bare safety or sustainability wording in a specification cell, replaced with a descriptor that names the grade without asserting a certification or an environmental property."
TBS-006,Eco Friendly Burger Sleeves,/product/eco-friendly-burger-sleeves/,specRows,Sustainability Focus,Material Focus,"Decision 6. Bare safety or sustainability wording in a specification cell, replaced with a descriptor that names the grade without asserting a certification or an environmental property."
TBS-026,Jumbo Burger Sleeves,/product/jumbo-burger-sleeves/,specRows,"White Cardboard, Brown Kraft, Recycled Food-grade Board, Bleached Paperboard","White cardboard, brown kraft, recycled food-contact grade board, bleached paperboard","Decision 6. Bare safety or sustainability wording in a specification cell, replaced with a descriptor that names the grade without asserting a certification or an environmental property."
TBS-026,Jumbo Burger Sleeves,/product/jumbo-burger-sleeves/,specRows,"Aqueous coating, Grease-proof lamination, Food-safe UV coating","Aqueous coating, grease-resistant lamination, UV coating for food packaging","Decision 6. Bare safety or sustainability wording in a specification cell, replaced with a descriptor that names the grade without asserting a certification or an environmental property."
TBS-026,Jumbo Burger Sleeves,/product/jumbo-burger-sleeves/,specRows,Food Safety,Food Contact,"Decision 6. Bare safety or sustainability wording in a specification cell, replaced with a descriptor that names the grade without asserting a certification or an environmental property."
SITE,sitewide,(global data file),"site-faqs.json — ""Are the burger sleeves food-safe?""",Absolutely. All our materials are food-grade and comply with FDA and EU food contact regulations. We use only approved inks and coatings.,"Food-contact grade materials and approved ink sets are available, and ink is kept off the food-facing side. Suitability depends on the specific board, coating and inks in your build rather than on the product category, so ask us to confirm the intended contact type in writing for the exact specification you order.","Decision 6/10. Claimed compliance with FDA and EU food contact regulations. No certification or supporting document exists in any supplied file, and the claim also fed the sitewide FAQPage schema."
SITE,sitewide,(global data file),homepage.json — why.cards[7].text,Biodegradable and recyclable materials available for environmentally conscious businesses.,"Kraft and recycled content board options available; disposal depends on coatings, food residue and local facilities.",Decision 6. Asserted biodegradability and recyclability sitewide on the homepage.
SITE,sitewide,(global data file),homepage.json — why.cards[7].title,Eco-Friendly Options,Lower-Impact Options,Decision 6. Card title asserted an environmental property as a product category.
SITE,sitewide,(global data file),homepage.json — materials.html (Kraft Paper row),"Natural, eco-friendly appearance with excellent strength",Natural unbleached appearance with excellent strength,"Decision 6. ""Eco-friendly appearance"" implies an environmental property from a visual one."
SITE,sitewide,(global data file),categories.json — burger-sleeves-materials metaDescription,"Explore premium burger sleeve materials: eco-friendly kraft paper, greaseproof, and custom printed options. Durable packaging for your restaurant!","Explore burger sleeve materials: unbleached kraft paper, greaseproof board, corrugated and custom printed options. Durable packaging for your restaurant.","Decision 6. ""Eco-friendly kraft paper"" asserts an environmental property of a material."
